metric,error,true_label,embedding,type_number
num_tables,0.0145,0.4716***,0.2953***,3
num_columns,0.0138,0.3546***,0.1942***,3
num_joins,0.0066,0.5664***,0.2557***,3
num_filters,0.0085,0.0304,0.0561**,6
longest_path_len,0.0116,0.5142***,0.2943***,3
num_nodes,0.0129,0.5388***,0.3015***,3
join_tree_diameter,0.0022,0.3669***,0.1089***,3
num_blocking_ops,0.0034,0.2316***,0.1917***,3
num_nested_loop,0.0075,-0.0823***,0.0421*,6
max_est_join_input_rows,-0.0019,0.4715***,0.1962***,3
sum_est_join_input_rows,-0.0018,0.5636***,0.2605***,3
num_highly_selective_filters,0.0028,-0.2882***,0.1965***,5
log_filter_selectivity_product,-0.0029,0.2436***,-0.0928***,4
optimizer_est_cost_root,-0.0029,0.6351***,0.2631***,3
log_max_est_rows,0.0056,0.7555***,0.4112***,3
log_sum_est_rows,0.0046,0.7592***,0.3993***,3
max_log_card_error,0.0106,0.1750***,0.2265***,3
