label,time,error,filtered
aimai-nan,653374.0,-0.851115432505154,False
bao-nan,3315196.0,0.35723825886323846,False
e2e-nan,15849574.0,5.817270011782227,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,-8.351771309670434,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,-1.6023753120357864,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,-4.816459835046188,False
llm-answerdotai-ModernBERT-base,5418591.52,-1.2355372158821485,False
llm-bert-base-uncased,3510071.27,-0.23636373744469386,False
llm-google-gemma-3-12b-pt,28002882.68,-3.0890605095099497,False
llm-google-gemma-3-1b-pt,7785774.7,-1.0989428110318973,False
llm-google-gemma-3-4b-pt,12751851.85,-2.0657333865051513,False
llm-meta-llama-Llama-3.1-8B,18589694.83,-3.9680427060085255,False
llm-meta-llama-Llama-3.2-1B,5482397.94,-4.829124060100014,False
llm-meta-llama-Llama-3.2-3B,10595063.65,-3.208975825517673,False
mscn-nan,232579206.0,-18.486405493001058,False
price-nan,69512582.0,-6.867327494515829,False
postgres-nan,653374.0,0.0,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,18.433339034205584,True
qf-nan,64124019.99999999,11.021321570238802,True
alece-nan,67323868.0,8385.509719744878,True
