metric,error,true_label,embedding,type_number
num_tables,0.497,0.2871**,-0.1735,6
num_columns,0.4841,0.4069***,-0.0082,4
num_joins,-1.1436,0.3060***,-0.0194,4
num_filters,1.7302,0.0176,-0.2733**,6
longest_path_len,-4.3289,0.2631**,-0.1500,6
num_nodes,7.0155,0.2614**,-0.1673,6
join_tree_diameter,0.4376,0.2202*,0.0006,6
num_blocking_ops,0.8767,-0.1523,-0.1052,6
num_nested_loop,-2.5878,0.1608,-0.1867*,6
max_est_join_input_rows,6.9744,0.2704**,0.2998**,6
sum_est_join_input_rows,-4.8594,0.3250***,0.2998**,4
num_highly_selective_filters,-2.561,0.1322,-0.2125*,6
log_filter_selectivity_product,-1.1645,-0.0551,0.3125***,5
optimizer_est_cost_root,-1.7724,0.4292***,0.2680**,4
log_max_est_rows,-1.0185,0.1989*,0.3326***,5
log_sum_est_rows,-2.7748,0.2467**,0.3190***,5
max_log_card_error,-1.4973,0.4461***,0.0605,4
