metric,error,true_label,embedding,type_number
num_tables,-3.7299,0.2082,-0.0796,6
num_columns,-0.9528,0.2649*,-0.0241,6
num_joins,-1.7351,0.7367***,0.2957*,4
num_filters,0.0351,-0.2384*,-0.2948*,6
longest_path_len,-7.1325,0.1623,-0.1272,6
num_nodes,11.7122,0.2087,-0.1063,6
join_tree_diameter,1.5458,0.7444***,0.2453*,4
num_blocking_ops,-1.8218,0.3052*,0.1962,6
num_nested_loop,-1.1624,-0.3961***,-0.2709*,6
max_est_join_input_rows,-4.9994,0.7859***,0.3280**,4
sum_est_join_input_rows,4.7029,0.7969***,0.3461**,4
num_highly_selective_filters,0.758,-0.6924***,-0.1356,6
log_filter_selectivity_product,1.0849,0.6851***,0.2150,4
optimizer_est_cost_root,1.3482,0.8709***,0.2769*,4
log_max_est_rows,12.2347,0.8622***,0.2905*,4
log_sum_est_rows,-13.0409,0.8677***,0.2945*,4
max_log_card_error,1.3258,0.1789,0.1437,6
