label,time,error,filtered
aimai-nan,594672.0,17.62,False
bao-nan,3530356.0,103.44,False
e2e-nan,14737320.000000002,45.0,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,25.09,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,31.99,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,28.74,False
llm-answerdotai-ModernBERT-base,5501065.52,35.63,False
llm-bert-base-uncased,3502641.27,32.12,False
llm-google-gemma-3-12b-pt,27979148.68,13.97,False
llm-google-gemma-3-1b-pt,7826370.7,18.78,False
llm-google-gemma-3-4b-pt,12652429.85,136.66,False
llm-meta-llama-Llama-3.1-8B,18531428.83,8.56,False
llm-meta-llama-Llama-3.2-1B,5503169.94,20.96,False
llm-meta-llama-Llama-3.2-3B,10615361.65,23.94,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,25.91,False
qf-nan,63045900.0,64.62,False
postgres-nan,594672.0,42.07,False
