model,total_params,embedding_params,non_embedding_params,avg_ms,p50_ms,p95_ms,quantification,status,architecture,attention_heads,context_length,deduped_variant,embedding_dimension,encoder_vs_decoder,feature_confidence,ffn_width,hidden_size,is_cased,is_embedding_tuned,is_instruction_tuned,is_multilingual,model_family,num_layers,pooling_method,tokenizer_behavior,tokenizer_type
google/bert_uncased_L-2_H-128_A-2,4197504,3972608,224896,8.94,7.62,13.83,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,2,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-2_H-256_A-4,8820992,7945216,875776,8.56,9.03,13.82,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,2,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-2_H-512_A-8,19345920,15890432,3455488,9.79,13.14,14.01,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,2,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-2_H-768_A-12,31574784,23835648,7739136,9.4,11.96,14.15,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,2,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-4_H-128_A-2,4405632,3972608,433024,11.45,13.44,16.47,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,4,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-4_H-256_A-4,9630464,7945216,1685248,12.54,14.43,18.79,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,4,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-4_H-512_A-8,22537728,15890432,6647296,12.41,14.62,16.81,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,4,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-4_H-768_A-12,38721792,23835648,14886144,11.32,12.72,14.9,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,4,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-6_H-128_A-2,4613760,3972608,641152,13.71,14.76,17.0,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,6,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-6_H-256_A-4,10439936,7945216,2494720,12.73,14.81,16.97,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,6,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-6_H-512_A-8,25729536,15890432,9839104,12.75,15.22,16.48,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,6,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-6_H-768_A-12,45868800,23835648,22033152,13.19,15.65,17.77,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,6,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-8_H-128_A-2,4821888,3972608,849280,14.7,17.34,19.5,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,8,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-8_H-256_A-4,11249408,7945216,3304192,14.72,17.39,19.63,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,8,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-8_H-512_A-8,28921344,15890432,13030912,14.72,15.8,20.18,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,8,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-8_H-768_A-12,53015808,23835648,29180160,15.06,16.38,18.57,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,8,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-10_H-128_A-2,5030016,3972608,1057408,15.61,17.75,19.95,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,10,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-10_H-256_A-4,12058880,7945216,4113664,16.12,17.93,20.11,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,10,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-10_H-512_A-8,32113152,15890432,16222720,16.15,18.62,20.6,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,10,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-10_H-768_A-12,60162816,23835648,36327168,16.09,17.05,20.81,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,10,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-12_H-128_A-2,5238144,3972608,1265536,18.09,19.45,22.5,4-bit,ok,bert,2,512,False,128,encoder,high,512.0,128,False,False,False,False,BERT-mini,12,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-12_H-256_A-4,12868352,7945216,4923136,17.52,18.4,20.65,4-bit,ok,bert,4,512,False,256,encoder,high,1024.0,256,False,False,False,False,BERT-mini,12,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-12_H-512_A-8,35304960,15890432,19414528,17.91,19.18,21.31,4-bit,ok,bert,8,512,False,512,encoder,high,2048.0,512,False,False,False,False,BERT-mini,12,CLS,WordPiece,BertTokenizerFast
google/bert_uncased_L-12_H-768_A-12,67309824,23835648,43474176,17.96,19.98,22.14,4-bit,ok,bert,12,512,False,768,encoder,high,3072.0,768,False,False,False,False,BERT-mini,12,CLS,WordPiece,BertTokenizerFast
HuggingFaceTB/SmolLM-135M,81891648,28311552,53580096,36.78,37.28,39.79,4-bit,ok,llama,9,2048,False,576,decoder,high,1536.0,576,True,False,False,False,SmolLM,30,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM-135M-Instruct,81891648,28311552,53580096,36.89,37.3,39.72,4-bit,ok,llama,9,2048,False,576,decoder,high,1536.0,576,True,False,True,False,SmolLM,30,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM-360M,205353920,47185920,158168000,45.74,49.15,51.86,4-bit,ok,llama,15,2048,False,960,decoder,high,2560.0,960,True,False,False,False,SmolLM,32,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM-360M-Instruct,205353920,47185920,158168000,45.7,47.45,51.82,4-bit,ok,llama,15,2048,False,960,decoder,high,2560.0,960,True,False,True,False,SmolLM,32,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM2-135M,81891648,28311552,53580096,36.48,36.79,39.65,4-bit,ok,llama,9,8192,False,576,decoder,high,1536.0,576,True,False,False,False,SmolLM2,30,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM2-135M-Instruct,81891648,28311552,53580096,37.65,38.34,39.75,4-bit,ok,llama,9,8192,False,576,decoder,high,1536.0,576,True,False,True,False,SmolLM2,30,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM2-360M,205353920,47185920,158168000,45.17,45.56,51.75,4-bit,ok,llama,15,8192,False,960,decoder,high,2560.0,960,True,False,False,False,SmolLM2,32,mean,BPE,GPT2TokenizerFast
HuggingFaceTB/SmolLM2-360M-Instruct,205353920,47185920,158168000,45.84,47.8,51.81,4-bit,ok,llama,15,8192,False,960,decoder,high,2560.0,960,True,False,True,False,SmolLM2,32,mean,BPE,GPT2TokenizerFast
EleutherAI/pythia-14m,7137280,6438912,698368,12.06,12.7,17.0,4-bit,ok,gpt_neox,4,2048,False,128,decoder,high,512.0,128,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-14m-deduped,7137280,6438912,698368,12.26,12.75,15.0,4-bit,ok,gpt_neox,4,2048,True,128,decoder,high,512.0,128,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-31m,15454208,12877824,2576384,12.12,12.87,15.17,4-bit,ok,gpt_neox,8,2048,False,256,decoder,high,1024.0,256,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-31m-deduped,15454208,12877824,2576384,11.92,12.86,15.06,4-bit,ok,gpt_neox,8,2048,True,256,decoder,high,1024.0,256,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-70m,35627008,25755648,9871360,11.87,13.35,14.21,4-bit,ok,gpt_neox,8,2048,False,512,decoder,high,2048.0,512,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-70m-deduped,35627008,25755648,9871360,12.34,13.48,15.1,4-bit,ok,gpt_neox,8,2048,True,512,decoder,high,2048.0,512,True,False,False,False,Pythia,6,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-160m,82401792,38633472,43768320,18.42,19.01,21.32,4-bit,ok,gpt_neox,12,2048,False,768,decoder,high,3072.0,768,True,False,False,False,Pythia,12,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-160m-deduped,82401792,38633472,43768320,18.41,19.01,21.19,4-bit,ok,gpt_neox,12,2048,True,768,decoder,high,3072.0,768,True,False,False,False,Pythia,12,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-410m,205973504,51511296,154462208,36.77,38.68,43.1,4-bit,ok,gpt_neox,16,2048,False,1024,decoder,high,4096.0,1024,True,False,False,False,Pythia,24,mean,BPE,GPTNeoXTokenizerFast
EleutherAI/pythia-410m-deduped,205973504,51511296,154462208,36.84,39.95,43.01,4-bit,ok,gpt_neox,16,2048,True,1024,decoder,high,4096.0,1024,True,False,False,False,Pythia,24,mean,BPE,GPTNeoXTokenizerFast
Qwen/Qwen1.5-0.5B,310633472,155582464,155051008,76.25,77.99,99.25,4-bit,ok,qwen2,16,32768,False,1024,decoder,high,2816.0,1024,True,False,False,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen1.5-0.5B-Chat,310633472,155582464,155051008,77.04,78.98,99.11,4-bit,ok,qwen2,16,32768,False,1024,decoder,high,2816.0,1024,True,False,True,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen2-0.5B,315660160,136134656,179525504,85.5,90.87,105.14,4-bit,ok,qwen2,14,131072,False,896,decoder,high,4864.0,896,True,False,False,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen2-0.5B-Instruct,315660160,136134656,179525504,84.82,87.09,107.23,4-bit,ok,qwen2,14,32768,False,896,decoder,high,4864.0,896,True,False,True,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen2.5-0.5B,315660160,136134656,179525504,84.6,90.47,106.87,4-bit,ok,qwen2,14,32768,False,896,decoder,high,4864.0,896,True,False,False,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
Qwen/Qwen2.5-0.5B-Instruct,315660160,136134656,179525504,83.98,88.8,106.84,4-bit,ok,qwen2,14,32768,False,896,decoder,high,4864.0,896,True,False,True,False,Qwen,24,last_token,SentencePiece,Qwen2TokenizerFast
